FY 2018 Complaints by Consumer State and Topic,,
Consumer State,Topic*,Complaints
Washington,Reducing debt,20577
Washington,Vacation & timeshares,7252
Washington,Warranties & protection plans,1348
Washington,Work from home,960
West Virginia,Computer & technical support,484
West Virginia,"Energy, solar, & utilities",38
West Virginia,Home improvement & cleaning,57
West Virginia,Home security & alarms,182
West Virginia,Imposters,1386
West Virginia,"Lotteries, prizes & sweepstakes",235
West Virginia,Medical & prescriptions,1530
West Virginia,Reducing debt,3105
West Virginia,Vacation & timeshares,634
West Virginia,Warranties & protection plans,683
West Virginia,Work from home,99
Wisconsin,Computer & technical support,1790
Wisconsin,"Energy, solar, & utilities",182
Wisconsin,Home improvement & cleaning,318
Wisconsin,Home security & alarms,356
Wisconsin,Imposters,5637
Wisconsin,"Lotteries, prizes & sweepstakes",692
Wisconsin,Medical & prescriptions,7977
Wisconsin,Reducing debt,11148
Wisconsin,Vacation & timeshares,1682
Wisconsin,Warranties & protection plans,1915
Wisconsin,Work from home,457
Wyoming,Computer & technical support,312
Wyoming,"Energy, solar, & utilities",17
Wyoming,Home improvement & cleaning,25
Wyoming,Home security & alarms,9
Wyoming,Imposters,809
Wyoming,"Lotteries, prizes & sweepstakes",113
Wyoming,Medical & prescriptions,713
Wyoming,Reducing debt,1198
Wyoming,Vacation & timeshares,246
Wyoming,Warranties & protection plans,424
Wyoming,Work from home,93
*Not everyone who files a complaint reports a topic.,,
